"","HomeTeam","AwayTeam","Season","Date","FTHG","FTAG","FTR","HTHG","ATHG","HTR","OddsH","OddsD","OddsA","BetVictorH","BetVictorD","BetVictorA","tenBetH","tenBetD","tenBetA","EighteenBetH","EighteenBetD","EighteenBetA","UnibetH","UnibetD","UnibetA","bwinH","bwinD","bwinA","PinnacleH","PinnacleD","PinnacleA"
"1:303","Galway","Sligo Rovers",8,"2016-05-29",1,2,"A",0,0,"D",2.55,3.3,2.75,2.55,3.3,2.75,2.55,3.2,2.65,2.54,3.15,2.7,2.5,3.15,2.8,2.6,3,2.6,2.68,3.42,2.78
"1:304","Longford","Cork City",8,"2016-05-29",0,3,"A",0,0,"D",11,6.5,1.22,11,6.5,1.22,11.75,5.85,1.22,10.38,5.65,1.24,11,5.5,1.25,11,4.75,1.25,13.29,6.48,1.26
"1:305","Shamrock Rovers","Finn Harps",8,"2016-05-29",1,1,"D",1,0,"H",1.25,5.5,13,1.25,5.5,13,1.3,4.85,10,1.28,4.98,9.88,1.3,5,9.5,1.3,4.33,9.75,1.35,5.2,11.08
"1:306","Cork City","Dundalk",8,"2016-06-03",1,0,"H",1,0,"H",2.8,3.1,2.6,2.8,3.1,2.6,2.85,3,2.55,2.83,2.96,2.58,2.85,3,2.6,2.7,3,2.5,2.99,3.16,2.68
"1:307","Finn Harps","Sligo Rovers",8,"2016-06-03",3,0,"H",1,0,"H",6.5,3.7,1.57,6.5,3.7,1.57,6.2,3.6,1.57,5.35,3.63,1.62,6,3.5,1.6,5,3.5,1.62,6.9,3.82,1.62
"1:308","Wexford","Bohemians",8,"2016-06-03",0,1,"A",0,1,"A",3.4,3.5,2.1,3.4,3.5,2.1,3.45,3.4,2,3.28,3.33,2.12,3.35,3.5,2.05,3.1,3.4,2.05,3.6,3.61,2.13
"1:309","Bray","Longford",8,"2016-06-03",0,0,"D",0,0,"D",1.87,3.6,4,1.87,3.6,4,1.91,3.4,3.95,1.94,3.38,3.73,1.85,3.5,4,2,3.3,3.4,1.94,3.6,4.3
"1:310","Galway","Derry City",8,"2016-06-03",0,0,"D",0,0,"D",3.2,3.2,2.3,3.2,3.2,2.3,3.1,3.2,2.25,3.05,3.18,2.29,3.2,3.3,2.15,3.4,3.1,2.05,3.14,3.38,2.43
"1:311","St. Patricks","Shamrock Rovers",8,"2016-06-03",0,2,"A",0,1,"A",2.9,3.1,2.55,2.9,3.1,2.55,2.9,3.05,2.5,2.91,2.98,2.5,2.75,3.2,2.5,2.8,3,2.45,3.03,3.23,2.59
"1:312","Longford","Finn Harps",8,"2016-06-24",0,2,"A",0,1,"A",2.45,3.25,2.88,2.45,3.25,2.88,2.4,3.2,2.9,2.47,3.08,2.87,2.4,3.2,2.9,2.4,3.1,2.75,2.51,3.37,3.03
"1:313","Shamrock Rovers","Cork City",8,"2016-06-24",0,0,"D",0,0,"D",4.2,3.13,2,4.2,3.13,2,3.95,3.15,1.95,3.68,3.2,2.02,4.25,3.2,1.9,3.5,3.2,2,4.27,3.34,2.04
